Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
10/29,Colgate (Exhibition),,A,L,4,9,N
10/31 ,Royal Military College,Oswego N.Y.,H,W,9,1,N
11/8,Royal Military College,,A,W,11,2,N
11/15,Cortland,Oswego N.Y.,H,W,7,3,Y
11/18,Potsdam,,A,W,5,3,Y
11/21,Iowa State,Oswego N.Y.,H,W,11,0,N
11/22,Army,Oswego N.Y.,H,W,7,2,N
12/6,Geneseo,,A,W,7,3,Y
12/9,RPI,,A,W,5,3,N
12/12,Plattsburgh,Oswego N.Y.,H,W,6,5,N
12/19,Hamilton,Oswego N.Y.,H,W,8,3,N
12/19,Middlebury,Oswego N.Y.,H,W,6,3,N
12/20,Union,,A,W,6,2,N
1/10,Union,Oswego N.Y.,H,L,7,8,N
1/11,New Haven,Oswego N.Y.,H,W,5,3,N
1/14,Elmira,,A,W,3,0,N
1/17,Plattsburgh,,A,L,4,5,N
1/21,Brockport,Oswego N.Y.,H,W,7,6,Y
1/24,Elmira,Oswego N.Y.,H,W,7,3,N
1/28,University of Buffalo,Oswego N.Y.,H,W,10,2,N
1/31,RIT,Oswego N.Y.,H,W,6,2,N
2/4,Cortland,,A,W,4,3,Y
2/7,Geneseo,Oswego N.Y.,H,W,8,2,Y
2/8,RIT,,A,W,7,2,N
2/11,Hamilton,,A,T,5,5,N
2/14,University of Buffalo,,A,W,7,4,N
2/18,Brockport,,A,W,4,3,Y
2/21 ,Potsdam,Oswego N.Y.,H,W,9,3,Y
2/28,Hamilton,Oswego N.Y.,H,W,6,4,N
3/4,Norwich,Oswego N.Y.,H,W,12,5,N
3/7,Plattsburgh,Oswego N.Y.,H,L,6,7,N
